0;0;0;1;0;39;0
0;0;0;0;0;39;0
0;0;0;0;0;42;0
0;0;0;1;0;42;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;0;0;43;0
0;0;0;0;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;0;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;2;0;43;0
0;0;0;2;0;43;0
0;0;0;2;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;0;0;43;0
0;0;0;1;0;43;0
0;0;0;0;0;43;0
0;0;0;0;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;3;1;0;43;0
0;0;0;1;0;43;0
0;0;0;0;0;43;0
0;0;0;2;0;43;0
0;0;0;1;0;43;0
0;0;0;2;0;43;0
0;0;0;1;0;43;0
0;0;0;0;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;2;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;0;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;2;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;0;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;41;0
0;0;0;1;0;42;0
0;0;0;1;0;42;0
0;0;0;1;0;42;0
0;0;0;2;0;42;0
0;0;0;1;0;42;0
0;0;0;0;0;42;0
0;0;0;1;0;42;0
0;0;0;1;0;42;0
0;0;0;1;0;42;0
0;0;0;1;0;42;0
0;0;0;1;0;42;0
0;0;0;1;0;42;0
0;0;0;1;0;42;0
0;0;0;1;0;42;0
0;0;0;0;0;42;0
0;0;0;0;0;42;0
0;0;0;1;0;42;0
0;0;0;1;0;48;0
0;0;0;1;0;48;0
0;0;0;0;0;48;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;52;0
0;0;0;1;0;53;0
0;0;0;1;0;52;0
0;0;0;1;0;52;0
0;0;0;1;0;52;0
0;0;0;1;0;51;0
0;0;0;1;0;51;0
0;0;2;1;0;51;0
0;0;0;0;0;56;0
0;0;0;1;0;55;0
0;0;0;1;0;48;0
0;0;0;1;0;48;0
0;0;0;1;0;48;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;2;0;56;0
0;0;0;1;0;56;0
0;0;0;1;0;56;0
0;0;0;2;0;52;0
0;0;0;1;0;63;0
0;0;0;1;0;63;0
0;0;0;1;0;63;0
0;0;0;0;0;63;0
0;0;0;1;0;63;0
0;0;0;1;0;63;0
0;0;0;1;0;63;0
0;0;0;1;0;63;0
0;0;0;1;0;63;0
0;0;0;1;0;61;0
0;0;0;1;0;56;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;33;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;3;1;0;45;0
0;0;0;1;0;45;0
0;0;0;2;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;1;2;0;45;0
0;0;0;2;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;1;2;0;45;0
0;0;0;2;0;45;0
0;0;0;1;0;45;0
0;0;1;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;0;0;45;0
0;0;0;0;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;0;0;45;0
0;0;0;1;0;45;0
0;0;0;0;0;45;0
0;0;0;0;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;1;0;45;0
0;0;0;0;0;45;0
0;0;0;0;0;53;0
0;0;0;1;0;53;0
0;0;0;0;0;53;0
0;0;0;1;0;53;0
0;0;0;0;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;0;0;53;0
0;0;0;2;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;0;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;0;0;53;0
0;0;0;0;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;53;0
0;0;0;1;0;60;0
0;0;0;1;0;60;0
0;0;0;1;0;60;0
0;0;0;1;0;60;0
0;0;0;1;0;60;0
0;0;0;0;0;60;0
0;0;0;1;0;60;0
0;0;0;1;0;60;0
0;0;0;0;0;60;0
0;0;0;1;0;55;0
0;0;0;1;0;54;0
0;0;0;0;0;54;0
0;0;0;0;0;54;0
0;0;0;0;0;54;0
0;0;0;1;0;50;0
0;0;0;1;0;61;0
0;0;0;0;0;64;0
0;0;0;0;0;64;0
0;0;0;1;0;64;0
0;0;0;0;0;64;0
0;0;0;1;0;64;0
0;0;0;0;0;64;0
0;0;0;1;0;59;0
0;0;0;1;0;64;0
0;0;0;0;0;64;0
0;0;0;1;0;64;0
0;0;0;0;0;64;0
0;0;0;0;0;64;0
0;0;0;1;0;55;0
0;0;0;1;0;55;0
0;0;0;1;0;55;0
0;0;0;0;0;55;0
0;0;0;0;0;59;0
0;0;0;0;0;57;0
0;0;0;0;0;57;0
0;0;0;1;0;57;0
0;0;0;0;0;57;0
0;0;0;0;0;57;0
0;0;0;0;0;57;0
0;0;0;0;0;57;0
0;0;0;0;0;57;0
0;0;0;0;0;57;0
0;0;0;0;0;57;0
0;0;0;0;0;57;0
0;0;0;0;0;57;0
0;0;0;0;0;57;0
0;0;0;1;0;52;0
0;0;0;1;0;42;0
0;0;0;1;0;42;0
0;0;0;0;0;42;0
0;0;0;0;0;42;0
0;0;0;1;0;42;0
0;0;0;0;0;42;0
0;0;0;0;0;42;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;1;0;43;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;2;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;3;0;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;44;0
0;0;0;1;0;44;0
0;0;1;1;0;44;0
0;0;0;1;0;44;0
0;0;0;1;0;44;0
0;0;0;0;0;35;0
0;0;0;0;0;35;0
0;0;0;1;0;35;0
0;0;0;1;0;35;0
0;0;0;1;0;35;0
0;0;0;0;0;35;0
0;0;0;0;0;35;0
0;0;0;0;0;35;0
0;0;0;1;0;35;0
0;0;0;0;0;37;0
0;0;0;0;0;37;0
0;0;0;0;0;37;0
0;0;0;1;0;37;0
0;0;0;1;0;37;0
0;0;0;1;0;37;0
0;0;0;1;0;37;0
0;0;0;0;0;37;0
0;0;0;1;0;37;0
0;0;0;1;0;37;0
0;0;0;1;0;37;0
0;0;0;1;0;38;0
0;0;0;1;0;38;0
0;0;0;1;0;38;0
0;0;0;0;0;38;0
0;0;0;1;0;38;0
0;0;0;0;0;38;0
0;0;0;0;0;38;0
0;0;0;1;0;38;0
0;0;0;0;0;30;0
0;0;0;1;0;30;0
0;0;0;1;0;30;0
0;0;0;0;0;30;0
0;0;0;1;0;31;0
0;0;1;1;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;1;0;31;0
0;0;0;0;0;31;0
0;0;0;1;0;32;0
0;0;0;0;0;31;0
0;0;0;1;0;31;0
0;0;0;0;0;28;0
0;0;0;0;0;14;0
0;0;0;1;0;14;0
0;0;0;0;0;14;0
0;0;0;1;0;13;0
0;0;0;1;0;13;0
0;0;0;1;0;13;0
0;0;0;0;0;14;0
0;0;0;1;0;9;0
0;0;0;0;0;11;0
0;0;0;0;0;10;0
0;0;0;0;0;10;0
0;0;0;1;0;10;0
0;0;0;0;0;20;0
0;0;0;1;0;20;0
0;0;0;0;0;20;0
0;0;0;1;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;18;0
0;0;0;0;0;18;0
0;0;0;0;0;18;0
0;0;0;1;0;18;0
0;0;0;0;0;19;0
0;0;0;0;0;18;0
0;0;0;0;0;18;0
0;0;0;0;0;18;0
0;0;0;0;0;18;0
0;0;0;0;0;18;0
0;0;0;0;0;18;0
0;0;0;0;0;18;0
0;0;0;0;0;18;0
0;0;0;0;0;18;0
0;0;0;1;99;18;0
0;0;0;0;0;19;0
0;0;0;1;0;19;0
0;0;0;1;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;1;0;19;0
0;0;0;0;0;17;0
0;0;0;0;0;25;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;1;0;24;0
0;0;0;1;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;1;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;1;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;22;0
0;0;0;0;0;22;0
0;0;0;0;0;22;0
0;0;0;0;0;22;0
0;0;0;0;0;22;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;21;0
0;0;0;0;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;30;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;1;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;30;0
0;0;0;0;0;30;0
0;0;0;0;0;29;0
0;0;0;0;0;29;0
0;0;0;0;0;29;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;19;0
0;0;0;0;0;21;0
0;0;0;0;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;20;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;1;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;1;0;13;0
0;0;0;0;0;13;0
0;0;1;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;1;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;1;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;1;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;99;23;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;0;23;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;13;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;1;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;25;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;1;0;23;0
0;0;0;1;0;24;0
0;0;0;0;0;24;0
0;0;0;1;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;1;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;24;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;31;0
0;0;0;0;0;38;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;2;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;2;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;1;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;32;0
0;0;0;0;0;22;0
0;0;0;0;0;22;0
0;0;0;1;0;22;0
0;0;0;0;0;22;0
0;0;0;0;0;24;0
0;0;0;1;0;24;0
0;0;0;1;0;24;0
0;0;0;0;0;24;0
0;0;0;1;0;24;0
0;0;0;1;0;24;0
0;0;0;1;0;24;0
0;0;0;1;0;24;0
0;0;0;1;0;24;0
0;0;0;0;0;24;0
0;0;0;1;0;25;0
0;0;0;1;0;25;0
0;0;0;1;0;25;0
0;0;0;1;0;25;0
0;0;0;1;0;25;0
0;0;0;1;0;25;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;0;0;26;0
0;0;0;0;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;14;0
0;0;0;1;0;14;0
0;0;0;1;0;14;0
0;0;0;1;0;14;0
0;0;0;1;0;14;0
0;0;0;1;0;14;0
0;0;0;0;0;15;0
0;0;0;0;0;15;0
0;0;0;0;0;15;0
0;0;0;0;0;15;0
0;0;0;0;0;15;0
0;0;0;1;0;15;0
0;0;0;1;0;15;0
0;0;0;1;0;15;0
0;0;0;1;0;15;0
0;0;0;1;0;19;0
0;0;0;1;0;19;0
0;0;0;1;0;19;0
0;0;0;0;0;20;0
0;0;0;0;0;26;0
0;0;0;0;0;26;0
0;0;0;0;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;0;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;26;0
0;0;0;1;0;33;0
0;0;0;1;0;33;0
0;0;0;1;0;33;0
0;0;0;0;0;33;0
0;0;0;1;0;32;0
0;0;0;1;0;32;0
0;0;3;1;0;30;0
0;0;0;0;0;31;0
0;0;0;0;0;43;0
0;0;0;1;0;41;0
0;0;0;1;0;41;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;3;1;0;40;0
0;0;25;3;0;40;0
0;0;3;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;4;2;0;40;0
0;0;28;2;0;40;0
0;0;6;2;0;40;0
0;0;4;2;0;40;0
0;0;99;2;0;40;0
0;0;99;3;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;3;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;0;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;1;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;37;1;0;40;0
0;0;99;2;0;40;0
0;0;99;2;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;99;1;0;40;0
0;0;99;1;0;40;0
0;0;18;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;2;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;2;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
0;0;0;1;0;40;0
